id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
1,Sonoma,9796.0,136.0,108,0,2020-11-02T00:00:00
2,Sutter,1895.0,12.0,7,0,2020-11-02T00:00:00
3,Unassigned,3.0,0.0,-1,0,2020-11-02T00:00:00
4,Riverside,68833.0,1322.0,340,3,2020-11-02T00:00:00
5,Santa Cruz,2943.0,26.0,22,0,2020-11-02T00:00:00
6,Madera,5033.0,76.0,14,0,2020-11-02T00:00:00
7,Mendocino,1076.0,21.0,2,0,2020-11-02T00:00:00
8,Ventura,14767.0,167.0,81,1,2020-11-02T00:00:00
9,San Mateo,11328.0,161.0,48,0,2020-11-02T00:00:00
10,Stanislaus,18005.0,401.0,44,0,2020-11-02T00:00:00
11,Tehama,971.0,14.0,6,0,2020-11-02T00:00:00
12,Alameda,23991.0,464.0,99,0,2020-11-02T00:00:00
13,Plumas,86.0,0.0,0,0,2020-11-02T00:00:00
14,Lassen,782.0,1.0,0,0,2020-11-02T00:00:00
15,Alpine,4.0,0.0,0,0,2020-11-02T00:00:00
16,Solano,7665.0,76.0,74,0,2020-11-02T00:00:00
17,Amador,357.0,16.0,5,0,2020-11-02T00:00:00
18,Colusa,571.0,6.0,4,0,2020-11-02T00:00:00
19,Del Norte,175.0,1.0,0,0,2020-11-02T00:00:00
20,Mono,211.0,2.0,0,0,2020-11-02T00:00:00
21,Inyo,243.0,15.0,2,0,2020-11-02T00:00:00
22,Placer,4461.0,59.0,39,0,2020-11-02T00:00:00
23,Sacramento,26676.0,500.0,234,0,2020-11-02T00:00:00
24,San Joaquin,21919.0,494.0,0,0,2020-11-02T00:00:00
25,San Diego,57429.0,891.0,307,0,2020-11-02T00:00:00
26,Mariposa,79.0,2.0,0,0,2020-11-02T00:00:00
27,Yuba,1280.0,10.0,7,0,2020-11-02T00:00:00
28,Out Of Country,0.0,0.0,0,0,2020-11-02T00:00:00
29,Sierra,6.0,0.0,0,0,2020-11-02T00:00:00
30,Los Angeles,307620.0,7076.0,1403,2,2020-11-02T00:00:00
31,Santa Barbara,9985.0,129.0,16,1,2020-11-02T00:00:00
32,Contra Costa,19339.0,247.0,93,0,2020-11-02T00:00:00
33,Shasta,2174.0,31.0,2,0,2020-11-02T00:00:00
34,San Benito,1459.0,15.0,8,0,2020-11-02T00:00:00
35,Glenn,692.0,3.0,4,0,2020-11-02T00:00:00
36,Butte,3198.0,54.0,13,1,2020-11-02T00:00:00
37,El Dorado,1405.0,4.0,11,0,2020-11-02T00:00:00
38,Calaveras,282.0,21.0,0,0,2020-11-02T00:00:00
39,Kern,33834.0,424.0,74,0,2020-11-02T00:00:00
40,Fresno,31738.0,443.0,125,0,2020-11-02T00:00:00
41,Santa Clara,25222.0,406.0,132,0,2020-11-02T00:00:00
42,Lake,728.0,17.0,1,-1,2020-11-02T00:00:00
43,Humboldt,569.0,10.0,1,0,2020-11-02T00:00:00
44,Napa,2081.0,16.0,14,0,2020-11-02T00:00:00
45,San Francisco,12436.0,148.0,0,0,2020-11-02T00:00:00
46,Tulare,17774.0,295.0,0,2,2020-11-02T00:00:00
47,Modoc,45.0,0.0,0,0,2020-11-02T00:00:00
48,Nevada,656.0,9.0,10,0,2020-11-02T00:00:00
49,San Bernardino,64629.0,1079.0,290,1,2020-11-02T00:00:00
50,Trinity,30.0,0.0,0,0,2020-11-02T00:00:00
51,Merced,9664.0,158.0,38,2,2020-11-02T00:00:00
52,Orange,59996.0,1483.0,263,-1,2020-11-02T00:00:00
53,San Luis Obispo,4303.0,33.0,0,1,2020-11-02T00:00:00
54,Marin,7132.0,127.0,8,0,2020-11-02T00:00:00
55,Monterey,11602.0,96.0,15,0,2020-11-02T00:00:00
56,Siskiyou,216.0,0.0,11,0,2020-11-02T00:00:00
57,Yolo,3318.0,61.0,15,1,2020-11-02T00:00:00
58,Imperial,13004.0,338.0,35,0,2020-11-02T00:00:00
59,Tuolumne,302.0,6.0,7,0,2020-11-02T00:00:00
60,Kings,8654.0,84.0,13,1,2020-11-02T00:00:00
61,Marin,7124.0,127.0,12,0,2020-11-01T00:00:00
62,Butte,3185.0,53.0,13,0,2020-11-01T00:00:00
63,San Mateo,11280.0,161.0,27,0,2020-11-01T00:00:00
64,Shasta,2172.0,31.0,50,0,2020-11-01T00:00:00
65,Sierra,6.0,0.0,0,0,2020-11-01T00:00:00
66,El Dorado,1394.0,4.0,4,0,2020-11-01T00:00:00
67,Calaveras,282.0,21.0,2,0,2020-11-01T00:00:00
68,Kings,8641.0,83.0,29,0,2020-11-01T00:00:00
69,Sutter,1888.0,12.0,12,0,2020-11-01T00:00:00
70,Monterey,11587.0,96.0,48,0,2020-11-01T00:00:00
71,Stanislaus,17961.0,401.0,41,0,2020-11-01T00:00:00
72,Ventura,14686.0,166.0,51,0,2020-11-01T00:00:00
73,Mendocino,1074.0,21.0,8,0,2020-11-01T00:00:00
74,Madera,5019.0,76.0,6,0,2020-11-01T00:00:00
75,Riverside,68493.0,1319.0,315,0,2020-11-01T00:00:00
76,Santa Cruz,2921.0,26.0,26,0,2020-11-01T00:00:00
77,Tuolumne,295.0,6.0,5,0,2020-11-01T00:00:00
78,Imperial,12969.0,338.0,57,0,2020-11-01T00:00:00
79,Siskiyou,205.0,0.0,5,0,2020-11-01T00:00:00
80,San Luis Obispo,4303.0,32.0,18,0,2020-11-01T00:00:00
81,Orange,59733.0,1484.0,245,1,2020-11-01T00:00:00
82,Merced,9626.0,156.0,29,0,2020-11-01T00:00:00
83,Trinity,30.0,0.0,0,0,2020-11-01T00:00:00
84,Lake,727.0,18.0,3,0,2020-11-01T00:00:00
85,San Bernardino,64339.0,1078.0,323,0,2020-11-01T00:00:00
86,Modoc,45.0,0.0,11,0,2020-11-01T00:00:00
87,Tulare,17774.0,293.0,16,0,2020-11-01T00:00:00
88,San Francisco,12436.0,148.0,-2,0,2020-11-01T00:00:00
89,Napa,2067.0,16.0,27,0,2020-11-01T00:00:00
90,Nevada,646.0,9.0,2,0,2020-11-01T00:00:00
91,Humboldt,568.0,10.0,7,0,2020-11-01T00:00:00
