county_id,county_name,confirmed_cases,new_confirmed_cases,deaths,new_deaths,date
1,Alameda,22370,45,433,0,2020-10-15
3,Alpine,3,0,0,0,2020-10-15
5,Amador,272,1,15,0,2020-10-15
7,Butte,2958,10,50,0,2020-10-15
9,Calaveras,331,0,16,0,2020-10-15
11,Colusa,545,0,6,0,2020-10-15
13,Contra Costa,17945,79,234,1,2020-10-15
15,Del Norte,173,2,1,0,2020-10-15
17,El Dorado,1271,8,4,0,2020-10-15
19,Fresno,29650,71,424,0,2020-10-15
21,Glenn,638,3,3,0,2020-10-15
23,Humboldt,544,2,8,0,2020-10-15
25,Imperial,12373,39,335,0,2020-10-15
27,Inyo,210,1,15,0,2020-10-15
29,Kern,33225,80,406,0,2020-10-15
31,Kings,8115,12,83,1,2020-10-15
33,Lake,641,2,14,0,2020-10-15
35,Lassen,751,0,1,0,2020-10-15
37,Los Angeles,286217,1201,6834,22,2020-10-15
39,Madera,4822,14,73,0,2020-10-15
41,Marin,6966,26,124,0,2020-10-15
43,Mariposa,77,0,2,0,2020-10-15
45,Mendocino,1077,14,21,0,2020-10-15
47,Merced,9302,16,152,0,2020-10-15
49,Modoc,27,0,0,0,2020-10-15
51,Mono,174,1,2,0,2020-10-15
53,Monterey,10887,60,82,1,2020-10-15
55,Napa,1840,8,13,0,2020-10-15
57,Nevada,579,3,8,0,2020-10-15
59,Orange,56436,153,1391,31,2020-10-15
61,Placer,3864,19,52,1,2020-10-15
63,Plumas,53,0,0,0,2020-10-15
65,Riverside,63125,225,1269,5,2020-10-15
67,Sacramento,24102,42,464,2,2020-10-15
69,San Benito,1392,2,13,0,2020-10-15
71,San Bernardino,59169,233,988,2,2020-10-15
73,San Diego,51470,143,847,3,2020-10-15
75,San Francisco,11756,44,126,3,2020-10-15
77,San Joaquin,21138,38,483,0,2020-10-15
79,San Luis Obispo,3969,36,32,0,2020-10-15
81,San Mateo,10655,33,155,0,2020-10-15
83,Santa Barbara,9540,20,118,1,2020-10-15
85,Santa Clara,22859,58,367,4,2020-10-15
87,Santa Cruz,2670,37,23,0,2020-10-15
89,Shasta,1640,17,28,0,2020-10-15
91,Sierra,6,0,0,0,2020-10-15
93,Siskiyou,183,0,0,0,2020-10-15
95,Solano,6951,43,74,0,2020-10-15
97,Sonoma,8684,69,128,0,2020-10-15
99,Stanislaus,17160,30,389,1,2020-10-15
101,Sutter,1793,8,12,0,2020-10-15
103,Tehama,726,4,8,0,2020-10-15
105,Trinity,20,0,0,0,2020-10-15
107,Tulare,17072,57,274,1,2020-10-15
109,Tuolumne,244,2,4,0,2020-10-15
111,Ventura,13541,50,159,1,2020-10-15
113,Yolo,3015,5,56,0,2020-10-15
115,Yuba,1246,3,10,0,2020-10-15
1,Alameda,22325,46,433,2,2020-10-14
3,Alpine,3,0,0,0,2020-10-14
5,Amador,271,1,15,0,2020-10-14
7,Butte,2948,2,50,2,2020-10-14
9,Calaveras,331,0,16,0,2020-10-14
11,Colusa,545,2,6,0,2020-10-14
13,Contra Costa,17866,32,233,2,2020-10-14
15,Del Norte,171,1,1,0,2020-10-14
17,El Dorado,1263,2,4,0,2020-10-14
19,Fresno,29579,56,424,0,2020-10-14
21,Glenn,635,0,3,0,2020-10-14
23,Humboldt,542,8,8,0,2020-10-14
25,Imperial,12334,44,335,5,2020-10-14
27,Inyo,209,0,15,0,2020-10-14
29,Kern,33145,56,406,9,2020-10-14
31,Kings,8103,7,82,0,2020-10-14
33,Lake,639,1,14,0,2020-10-14
35,Lassen,751,2,1,0,2020-10-14
37,Los Angeles,285016,1223,6812,19,2020-10-14
39,Madera,4808,12,73,2,2020-10-14
41,Marin,6940,6,124,0,2020-10-14
43,Mariposa,77,0,2,0,2020-10-14
45,Mendocino,1063,8,21,0,2020-10-14
47,Merced,9286,21,152,0,2020-10-14
49,Modoc,27,0,0,0,2020-10-14
51,Mono,173,0,2,0,2020-10-14
53,Monterey,10827,79,81,0,2020-10-14
55,Napa,1832,9,13,0,2020-10-14
57,Nevada,576,3,8,0,2020-10-14
59,Orange,56283,213,1360,19,2020-10-14
61,Placer,3845,7,51,0,2020-10-14
63,Plumas,53,0,0,0,2020-10-14
65,Riverside,62900,347,1264,6,2020-10-14
67,Sacramento,24060,91,462,4,2020-10-14
69,San Benito,1390,2,13,0,2020-10-14
71,San Bernardino,58936,357,986,0,2020-10-14
73,San Diego,51327,303,844,4,2020-10-14
75,San Francisco,11712,21,123,0,2020-10-14
77,San Joaquin,21100,36,483,6,2020-10-14
79,San Luis Obispo,3933,9,32,0,2020-10-14
81,San Mateo,10622,21,155,0,2020-10-14
83,Santa Barbara,9520,17,117,1,2020-10-14
85,Santa Clara,22801,60,363,0,2020-10-14
87,Santa Cruz,2633,15,23,3,2020-10-14
89,Shasta,1623,26,28,3,2020-10-14
