case_id,zipcode,cases,population,death_rate
1,94022,82,19378,423
2,94024,75,23961,313
3,94040,263,35845,734
4,94041,128,14394,889
5,94043,199,31488,632
6,94085,269,23612,1139
7,94086,328,49630,661
8,94087,215,57219,376
9,94089,161,22313,722
10,94301,103,17191,599
11,94304,30,3902,769
12,94305,22,15730,140
13,94306,118,27549,428
14,95002,34,2146,1584
15,95008,357,46513,768
16,95013,0,77,0
17,95014,128,62430,205
18,95020,1542,63852,2415
19,95030,53,13288,399
20,95032,137,26281,521
21,95035,570,77562,735
22,95037,605,51652,1171
23,95046,117,6025,1942
24,95050,407,39452,1032
25,95051,369,58123,635
26,95053,0,3678,0
27,95054,246,24264,1014
28,95070,110,31308,351
29,95110,489,20203,2420
30,95111,1458,62392,2337
31,95112,937,61060,1535
32,95113,56,1939,2888
33,95116,1465,56481,2594
34,95117,491,29592,1659
35,95118,286,32560,878
36,95119,62,10472,592
37,95120,191,37774,506
38,95121,474,38102,1244
39,95122,1664,57780,2880
40,95123,774,67186,1152
41,95124,293,51170,573
42,95125,528,53574,986
43,95126,493,35988,1370
44,95127,1426,65686,2171
45,95128,391,37665,1038
46,95129,146,39828,367
47,95130,84,14863,565
48,95131,251,31170,805
49,95132,330,41844,789
50,95133,373,28726,1298
51,95134,158,27224,580
52,95135,82,22358,367
53,95136,625,47599,1313
54,95138,175,20766,843
55,95139,57,7293,782
56,95140,,115,0
57,95148,570,48854,1167
