county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,
Alameda,28797.0,502.0,419,0,2020-11-26,
Alpine,41.0,0.0,0,0,2020-11-26,
Amador,488.0,16.0,4,0,2020-11-26,
Butte,3894.0,59.0,46,0,2020-11-26,
Calaveras,478.0,22.0,3,0,2020-11-26,
Colusa,694.0,6.0,1,0,2020-11-26,
Contra Costa,23468.0,261.0,161,1,2020-11-26,
Del Norte,307.0,1.0,3,0,2020-11-26,
El Dorado,2217.0,4.0,63,0,2020-11-26,
Fresno,37724.0,477.0,375,0,2020-11-26,
Glenn,892.0,8.0,1,0,2020-11-26,
Humboldt,795.0,9.0,18,0,2020-11-26,
Imperial,15722.0,356.0,82,0,2020-11-26,
Inyo,289.0,16.0,0,0,2020-11-26,
Kern,39123.0,448.0,245,0,2020-11-26,
Kings,10475.0,87.0,58,0,2020-11-26,
Lake,890.0,19.0,12,0,2020-11-26,
Lassen,1714.0,2.0,13,0,2020-11-26,
Los Angeles,378340.0,7580.0,4421,37,2020-11-26,
Madera,6003.0,85.0,14,0,2020-11-26,
Marin,7610.0,129.0,9,0,2020-11-26,
Mariposa,116.0,2.0,2,0,2020-11-26,
Mendocino,1387.0,22.0,14,0,2020-11-26,
Merced,11440.0,179.0,94,0,2020-11-26,
Modoc,100.0,0.0,4,0,2020-11-26,
Mono,485.0,3.0,-2,0,2020-11-26,
Monterey,14750.0,116.0,55,0,2020-11-26,
Napa,2988.0,17.0,43,0,2020-11-26,
Nevada,1184.0,9.0,14,0,2020-11-26,
Orange,74264.0,1559.0,1250,0,2020-11-26,
Placer,6278.0,68.0,57,0,2020-11-26,
Plumas,188.0,0.0,5,0,2020-11-26,
Riverside,85774.0,1434.0,697,0,2020-11-26,
Sacramento,35854.0,566.0,167,0,2020-11-26,
San Benito,1769.0,16.0,5,0,2020-11-26,
San Bernardino,89727.0,1129.0,1258,0,2020-11-26,
San Diego,76359.0,996.0,1052,8,2020-11-26,
San Francisco,15156.0,160.0,103,0,2020-11-26,
San Joaquin,25738.0,502.0,182,0,2020-11-26,
San Luis Obispo,5964.0,35.0,51,0,2020-11-26,
San Mateo,13715.0,170.0,101,0,2020-11-26,
Santa Barbara,11277.0,135.0,94,0,2020-11-26,
Santa Clara,32411.0,476.0,379,6,2020-11-26,
Santa Cruz,4269.0,28.0,67,0,2020-11-26,
Shasta,4712.0,47.0,124,0,2020-11-26,
Sierra,15.0,0.0,0,0,2020-11-26,
Siskiyou,526.0,2.0,27,0,2020-11-26,
Solano,9941.0,81.0,109,0,2020-11-26,
Sonoma,11922.0,157.0,147,2,2020-11-26,
Stanislaus,21186.0,422.0,164,0,2020-11-26,
Sutter,3101.0,15.0,37,0,2020-11-26,
Tehama,1612.0,25.0,25,0,2020-11-26,
Trinity,139.0,0.0,4,0,2020-11-26,
Tulare,20649.0,308.0,121,0,2020-11-26,
Tuolumne,871.0,8.0,29,0,2020-11-26,
Ventura,19058.0,175.0,144,0,2020-11-26,
Yolo,4566.0,74.0,39,0,2020-11-26,
Yuba,1865.0,10.0,25,0,2020-11-26
